item_id,checklist,evidence_type,kind,condition,trigger_field,move,notes,anchor_label,anchor_doi,rubric_version
E-D11,A,Empirical meta-research,reclass,"The source calls a study a replication, but it re-analyses the same data under different analytic choices",original vs. replication,reclassify,"Spec 29: this is a reanalysis, not a replication. Reclassify, do not downgrade, then re-apply E-D1 and the convergence independence test.",Many analysts,10.1177/2515245917747646,stage1-checklists-v0.1
E-D12,A,Empirical meta-research,down,Effect size is from a small original study and no bias-corrected or replication-based estimate exists,N; effect size,flag only,"Spec 21: flag as likely inflated, do not adjust numerically. This item carries no tier movement; it exists so the flag is recorded rather than silently folded into E-D4.",Type M,10.1177/1745691614551642,stage1-checklists-v0.1
E-U1,A,Empirical meta-research,up,"Independent direct replication, concordant in direction, with magnitude inside the reference prediction interval",original vs. replication; effect size,+1,,OSC 2015,10.1126/science.aac4716,stage1-checklists-v0.1
E-U2,A,Empirical meta-research,up,Estimate survives the most conservative bias-correction method applied and at least two methods agree in direction,bias-correction method by name,+1,Mutually exclusive with E-D6 by construction.,Carter,10.1177/2515245919847196,stage1-checklists-v0.1
E-U3,A,Empirical meta-research,up,"Multiverse or specification-curve analysis present, and the majority of defensible specifications stay in the same direction above the negligibility threshold",design; effect size,+1,"Also satisfied by a vibration-of-effects analysis over model specifications. See also [Multiverse](#references), [Vibration](#references).",Spec-curve,10.1038/s41562-020-0912-z,stage1-checklists-v0.1
E-U4,A,Empirical meta-research,up,"Registered report, or pre-registration with a public analysis plan and documented adherence",pre-registration status,+1,Adherence must be observable. Pre-registration without a checkable plan prevents E-D2 from firing but does not earn this upgrade.,Nosek,10.1016/j.tics.2019.07.009,stage1-checklists-v0.1
S-D1,B,Simulation,down,"Data-generating mechanism not stated, or stated too incompletely to re-implement",parameter ranges cover realistic conditions,-1,"If the claim depends entirely on the unrecoverable mechanism, this is Cannot Grade rather than a downgrade (see spec 34 checklist).",ADEMP,10.1002/sim.8086,stage1-checklists-v0.1
S-D2,B,Simulation,down,Parameter ranges do not cover the conditions the claim is stated over,parameter ranges cover realistic conditions,-1 (-2),"Take -2 when only the region favourable to the method is explored, e.g. sample sizes far above typical practice, or no low-signal condition.",Siepe,10.1037/met0000695,stage1-checklists-v0.1
S-D3,B,Simulation,down,"No relevant comparator, or the comparator runs at defaults while the proposed method is tuned, or the study is run by the method's proponents with no neutral study available",code available; provenance tags,-1,"The simulation analogue of E-D8. Neutral-comparison framing: a comparison designed by a proponent is evidence about the best case, not the typical case.",Boulesteix,10.1186/s12874-017-0417-2,stage1-checklists-v0.1
S-D4,B,Simulation,down,"Number of repetitions not reported, or Monte Carlo standard error not reported and not negligible relative to the difference claimed",parameter ranges cover realistic conditions,-1,ADEMP requires performance measures with uncertainty. A difference smaller than its own Monte Carlo error supports no claim.,ADEMP,10.1002/sim.8086,stage1-checklists-v0.1
S-D5,B,Simulation,down,The performance measures reported do not match the claim (a coverage claim supported only by bias or power results),parameter ranges cover realistic conditions,-1,,TRISS,10.1111/2041-210x.14415,stage1-checklists-v0.1
S-D6,B,Simulation,down,No check against real data with a known answer,results checked against real data with known answers,-1,"This is the second of the three method-validation standards (spec 28). When the spec-28 overlay already caps the tier for the same missing standard, fire the item or the cap, not both.",Boulesteix,10.1186/s12874-017-0417-2,stage1-checklists-v0.1
S-D7,B,Simulation,down,"Code unavailable and the mechanism, estimand, or tuning is described too incompletely to re-implement",code available,-1,"Unavailable code with a fully specified mechanism is recorded as a transparency tag, not a downgrade; otherwise older sources are penalised for a norm that did not exist.",TRISS,10.1111/2041-210x.14415,stage1-checklists-v0.1
S-D8,B,Simulation,down,"Data are simulated from exactly the model the method assumes, with no misspecification condition",parameter ranges cover realistic conditions,-1,"A self-fulfilling design demonstrates internal consistency, not performance.",Siepe,10.1037/met0000695,stage1-checklists-v0.1
S-U1,B,Simulation,up,"Neutral comparison study: authors are not the method's proponents, and the protocol and performance measures were fixed in advance",provenance tags,+1,,Boulesteix,10.1186/s12874-017-0417-2,stage1-checklists-v0.1
S-U2,B,Simulation,up,Misspecification conditions present and the result holds across them,parameter ranges cover realistic conditions,+1,,Siepe,10.1037/met0000695,stage1-checklists-v0.1
S-U3,B,Simulation,up,Simulation reproduced independently with different code,code available,+1,,ADEMP,10.1002/sim.8086,stage1-checklists-v0.1
S-C1,B,Simulation,cap,Simulation-only evidence,-,cap Moderate,"Aligns with spec 28: coverage of realistic conditions is one of three standards, and one standard alone cannot exceed Moderate. Simulation reaches High only through convergence with another evidence type.",ADEMP,10.1002/sim.8086,stage1-checklists-v0.1
P-F1,C,Proof or analytic result,frame,"What is graded is the claim's support, not the theorem's truth",-,framing,A correct theorem can be weak support for a claim about practice. Never record a proof source as Cannot Grade because the mathematics is beyond audit; grade the fit between result and claim.,,,stage1-checklists-v0.1
P-D1,C,Proof or analytic result,down,Assumptions not stated,stated assumptions,-1,"If the claim concerns behaviour under conditions the proof never names, this is Cannot Grade for that claim rather than a downgrade.",,,stage1-checklists-v0.1
P-D2,C,Proof or analytic result,down,"Assumptions stated but known to be violated in the context the claim is stated over, with no robustness or sensitivity result",stated assumptions; applicability tags,-2,Do not also fire E-D7 for the same mismatch (see double-count register).,GRADE,10.1136/bmj.39489.470347.ad,stage1-checklists-v0.1
P-D3,C,Proof or analytic result,down,"Result is asymptotic, the claim is about realistic finite samples, and no finite-sample bound or simulation is supplied",asymptotic or finite-sample,-1,,,,stage1-checklists-v0.1
P-D4,C,Proof or analytic result,down,"Result is worst-case or existence-only while the claim is about typical performance, or the reverse",asymptotic or finite-sample; stated assumptions,-1,,,,stage1-checklists-v0.1
P-D5,C,Proof or analytic result,down,The result depends on a quantity the proof leaves unidentified (an unknown constant or rate) and no empirical calibration is supplied,stated assumptions,-1,,,,stage1-checklists-v0.1
P-D6,C,Proof or analytic result,down,"Recent or disputed result, not independently checked, not machine-verified, and published without proof review","who, on what basis, whether dissent is documented",-1,Kept deliberately mild: the default assumption is that a published proof is correct.,,,stage1-checklists-v0.1
P-U1,C,Proof or analytic result,up,Finite-sample result with explicit constants,asymptotic or finite-sample,+1,,,,stage1-checklists-v0.1
P-U2,C,Proof or analytic result,up,"Assumptions shown to be testable and tested, or verified to hold, in the claim's context",stated assumptions,+1,,,,stage1-checklists-v0.1
P-U3,C,Proof or analytic result,up,"Independent proof by a different route, or a machine-checked proof",-,+1,,,,stage1-checklists-v0.1
P-C1,C,Proof or analytic result,cap,Proof-only evidence for a claim with an empirical component (about what happens in practice or in real literatures),-,cap Moderate,"A purely mathematical claim, scoped to its assumptions, is not capped: a proof is the on-type evidence for it and can reach High.",,,stage1-checklists-v0.1
C-F1,D,Expert consensus or guideline,frame,Consensus is not independent evidence,-,framing,"When the statement cites its basis, retrieve those sources and grade them (C-U2). The consensus itself contributes only through the quality of its process.",AGREE II,10.1503/cmaj.090449,stage1-checklists-v0.1
C-D1,D,Expert consensus or guideline,down,Basis not stated: no cited evidence and no described reasoning,"who, on what basis, whether dissent is documented",cap Very Low,,AGREE II,10.1503/cmaj.090449,stage1-checklists-v0.1
C-D2,D,Expert consensus or guideline,down,"No structured process: panel undefined, or no documented aggregation rule or stopping rule","who, on what basis, whether dissent is documented",-1,,Fink,10.2105/ajph.74.9.979,stage1-checklists-v0.1
C-D3,D,Expert consensus or guideline,down,"Dissent not documented, or unanimity asserted with no record of how disagreement was handled","who, on what basis, whether dissent is documented",-1,,Fink,10.2105/ajph.74.9.979,stage1-checklists-v0.1
C-D4,D,Expert consensus or guideline,down,"Panel composition undisclosed, or single-discipline for a claim that spans disciplines","who, on what basis, whether dissent is documented; applicability tags",-1,,AGREE II,10.1503/cmaj.090449,stage1-checklists-v0.1
C-D5,D,Expert consensus or guideline,down,Funding or conflicts undisclosed,provenance tags,-1,,AGREE II,10.1503/cmaj.090449,stage1-checklists-v0.1
C-D6,D,Expert consensus or guideline,down,"Guideline restates an earlier version with no documented re-review, and relevant evidence has appeared since","who, on what basis, whether dissent is documented",-1,,AGREE II,10.1503/cmaj.090449,stage1-checklists-v0.1
C-D7,D,Expert consensus or guideline,reclass,The statement is normative and its descriptive basis cannot be separated out,-,reclassify,"Spec 13: grade the descriptive basis. If inseparable, return Cannot Grade for the normative claim and say which descriptive claim would need to be graded instead.",,,stage1-checklists-v0.1
C-U1,D,Expert consensus or guideline,up,Structured expert elicitation with a documented aggregation rule and some calibration evidence for the experts,"who, on what basis, whether dissent is documented",+1,Raises the cap from Low to Moderate. The calibration premise behind this item is one of the two rubric parameters currently without a verified anchor (section 15).,Fink,10.2105/ajph.74.9.979,stage1-checklists-v0.1
C-U2,D,Expert consensus or guideline,reclass,The statement's evidence base is retrieved and gradeable,-,reclassify,"Grade the underlying sources on their own checklists and treat the consensus as a retrieval pointer, not as a source. This is the expected path, not an exception.",,,stage1-checklists-v0.1
C-C1,D,Expert consensus or guideline,cap,Consensus or guideline as the only source,-,cap Low,Cap becomes Moderate when C-U1 applies.,AGREE II,10.1503/cmaj.090449,stage1-checklists-v0.1
A-F1,E,Theoretical argument,frame,"Argument is on-type for conceptual, definitional, and normative-basis claims, and off-type for empirical claims",-,framing,Grading an argument as though it were empirical evidence is one of the errors the adversarial pass checks for (AP-6).,,,stage1-checklists-v0.1
A-D1,E,Theoretical argument,down,A load-bearing premise is an empirical claim with no retrieved source,"who, on what basis, whether dissent is documented","-1 per premise, max -2","Spec 19: if the argument rests on a single unsupported empirical premise, grade that premise as its own claim instead of grading the argument.",,,stage1-checklists-v0.1
A-D2,E,Theoretical argument,down,"The inference step is unstated, or the conclusion is broader than the premises support",-,-1 (-2),"Take -2 when the conclusion generalises across fields, eras, or task types that no premise covers.",,,stage1-checklists-v0.1
A-D3,E,Theoretical argument,down,Rebuttals present in the retrieved literature are not addressed,"who, on what basis, whether dissent is documented",-1,,,,stage1-checklists-v0.1
A-D4,E,Theoretical argument,down,A key term shifts meaning between premises and conclusion,measure named and contest noted (spec 25),-1,Log the merge or split decision under spec 20 when this fires.,,,stage1-checklists-v0.1
A-D5,E,Theoretical argument,down,"The claim is empirically testable, untested, and supported only by argument",-,cap Low,Record the claim in the evidence gap map (spec 47) as well as in the tier.,,,stage1-checklists-v0.1
A-D6,E,Theoretical argument,down,Transfer by analogy from another field with no stated disanalogies,applicability tags,-1,,,,stage1-checklists-v0.1
A-U1,E,Theoretical argument,reclass,"The argument is formalised, or its key step is proved",-,reclassify,Grade under Checklist C (proof).,,,stage1-checklists-v0.1
A-U2,E,Theoretical argument,up,A published critical exchange exists and the argument survives the documented rebuttals,"who, on what basis, whether dissent is documented",+1,,,,stage1-checklists-v0.1
A-U3,E,Theoretical argument,up,Every load-bearing premise is independently supported at Moderate or better,-,+1,,,,stage1-checklists-v0.1
A-C1,E,Theoretical argument,cap,Argument-only evidence,-,cap Low (empirical claims) / Moderate (conceptual claims),Argument-only evidence never reaches High.,,,stage1-checklists-v0.1
AP-1,AP,adversarial pass,check,"Argue for a different tier, citing extracted fields",-,-,"the tier argued for, and the fields cited",,,stage1-checklists-v0.1
AP-2,AP,adversarial pass,check,Source overreach: does each cited source's retrieved text support what is attributed to it,-,-,"any source whose text falls short, and what it does support",,,stage1-checklists-v0.1
AP-3,AP,adversarial pass,check,Double counting: is any single defect driving two downgrades,-,-,the collision and the item that should stand,,,stage1-checklists-v0.1
AP-4,AP,adversarial pass,check,"Contested versus absent: is a 'contested' call really absent evidence, or a 'Cannot Grade' really Very Low",-,-,which of the spec-34 conditions is met,,,stage1-checklists-v0.1
AP-5,AP,adversarial pass,check,"Alternative explanations: for each source, was the finding weighed against the obvious alternative account",-,-,the alternative not considered,,,stage1-checklists-v0.1
AP-6,AP,adversarial pass,check,On-type check: was an argument or consensus graded as though it were empirical evidence,-,-,the source and its correct checklist,,,stage1-checklists-v0.1
AP-7,AP,adversarial pass,check,Missing downgrade: any field recorded 'not reported (full text checked)' with no item fired,-,-,the field and the item that should have fired,,,stage1-checklists-v0.1
AP-8,AP,adversarial pass,check,"Upgrade justification: is each upgrade's precondition actually met, including independence for X-3",-,-,the upgrade and the unmet precondition,,,stage1-checklists-v0.1
X-1,X,combination rule,rule,Grade every retrieved source on its own checklist first and record the per-source tier. No claim-level move happens before this.,-,-,,,,stage1-checklists-v0.1
X-2,X,combination rule,rule,"The claim's starting tier is the highest per-source tier among sources that are **on-type** for the claim (A-F1, P-C1).",-,-,,,,stage1-checklists-v0.1
X-3,X,combination rule,rule,"**Convergence upgrade, +1, once per claim.** Two or more sources of *different* evidence types each reach Low or better on their own checklist, agree in direction, and share no data source, author group, or code base. Spec 27: a proof plus a weak simulation is not convergence. The independence test is E-D8 and S-D3.",-,-,,,,stage1-checklists-v0.1
X-4,X,combination rule,rule,"**Conflict.** Sources disagreeing in direction, both at Low or better, send the claim to Contested (spec 34); they are not averaged into a middle tier. Disagreement in magnitude only: report both estimates and take the more conservative tier (spec 29).",-,-,,,,stage1-checklists-v0.1
X-5,X,combination rule,rule,"**Weighting.** Replications, registered reports, and bias-corrected syntheses outweigh originals. A reanalysis under different analytic choices is not a replication (E-D11). Citation count is a retrieval signal only; journal prestige is neither (spec 29).",-,-,,,,stage1-checklists-v0.1
X-6,X,combination rule,rule,"**Ceiling.** No claim exceeds the tier its best on-type source can reach alone, plus the single convergence upgrade.",-,-,,,,stage1-checklists-v0.1
X-7,X,combination rule,rule,"**Volume is not evidence.** Many sources with the same weakness do not lift a tier; they are logged as source count, which is not an input to the tier.",-,-,,,,stage1-checklists-v0.1
X-8,X,combination rule,rule,"**Floor and total movement.** Downgrades total at most -3 from baseline, floor Very Low. Upgrades total at most +2, and no upgrade applies while any -2 downgrade is live. Cannot Grade is never reached by accumulation, only by its spec-34 conditions.",-,-,,,,stage1-checklists-v0.1
